country,gdp_capita,labor_rate,labor_force,life_expectancy,water_access,air_pollution,population_density,population,unemployment_rate
Afghanistan,536.23,47.28,9103245.75,62.97,66.61,100.0,53.94,35179977.0,10.341
Albania,4473.89,57.54,1362512.25,78.93,93.92,100.0,104.9,2874159.25,14.633
Algeria,4117.84,41.79,11979207.5,75.79,93.73,100.0,17.1,40736509.0,10.54
Angola,2395.27,77.28,12467594.5,61.39,55.46,100.0,23.82,29691157.0,9.557
Argentina,13246.88,59.17,19579367.75,76.73,99.01,95.34,16.01,43815411.75,8.301
Armenia,3945.0,61.7,1411732.75,74.77,99.63,100.0,100.39,2858227.5,12.689
Australia,54431.7,65.17,12899493.5,82.52,99.97,25.28,3.17,24391936.75,5.663
Austria,47099.78,61.13,4581834.0,81.54,100.0,87.18,106.09,8754363.5,5.52
Azerbaijan,4567.05,64.73,4787638.0,72.12,93.74,100.0,118.56,9800239.25,4.965
"Bahamas, The",30398.36,73.56,227095.5,73.52,98.89,100.0,39.7,397399.75,11.125
Bahrain,23857.1,71.57,817207.25,79.63,99.93,100.0,1834.97,1428994.25,1.183
Bangladesh,1668.75,57.3,65272299.75,71.48,97.5,100.0,1235.1,160773122.5,4.368
Barbados,17600.51,64.34,146561.75,76.87,98.49,100.0,648.61,278901.75,8.748
Belarus,5788.11,63.7,5026088.0,73.94,98.35,99.98,46.59,9457057.25,5.522
Belgium,43691.1,53.61,5054295.5,81.38,100.0,92.95,374.9,11351957.5,7.338
Belize,6112.84,64.53,165635.5,73.46,97.79,100.0,16.26,370985.75,7.249
Benin,1095.3,64.79,4214324.25,59.73,66.11,100.0,101.39,11432582.5,1.743
Bhutan,3006.65,63.19,351598.0,70.73,98.27,100.0,19.74,752813.0,2.908
Bolivia,3185.04,68.72,5263061.0,67.6,91.21,100.0,10.48,11348884.5,3.445
Bosnia and Herzegovina,5230.94,46.17,1358266.25,76.75,96.15,99.97,67.6,3461366.5,23.008
Botswana,6483.61,62.6,983638.25,65.36,89.94,100.0,4.2,2377709.0,19.514
Brazil,9120.42,63.71,103273767.3,74.68,98.22,70.34,24.85,207679833.8,11.423
Brunei Darussalam,29217.87,63.86,208545.75,74.73,99.9,0.0,81.21,427995.25,8.536
Bulgaria,8123.43,54.52,3325411.5,74.8,99.22,99.92,65.42,7101699.25,7.02
Burkina Faso,697.08,65.51,7009144.75,59.44,50.19,100.0,71.47,19555524.5,4.51
Burundi,252.03,79.53,4631736.25,61.06,60.52,100.0,431.07,11069885.0,1.244
Cabo Verde,3469.14,58.27,234115.0,75.67,86.67,100.0,139.37,561679.0,12.056
Cambodia,1346.52,73.26,8003315.5,70.29,72.91,100.0,89.08,15724508.5,0.348
Cameroon,1474.92,72.0,9851380.25,60.47,66.76,100.0,50.87,24048551.0,3.581
Canada,44397.24,65.68,20014205.25,81.85,99.23,0.24,4.06,36355678.75,6.52
Central African Republic,393.67,70.73,1798705.25,53.59,40.77,100.0,7.95,4953757.75,5.736
Chad,712.39,60.77,4670138.0,52.2,48.79,100.0,11.8,14855738.25,1.112
Chile,14549.22,59.85,8789639.25,80.08,99.8,97.94,24.55,18256007.5,6.845
China,8708.32,68.59,779046779.3,77.3,93.73,100.0,148.23,1391656250.0,4.498
Colombia,6349.23,68.96,25334491.75,76.53,96.41,93.73,43.35,48093578.75,8.743
Comoros,1406.53,44.3,202457.5,63.42,80.16,100.0,404.95,753606.25,8.08
"Congo, Dem. Rep.",483.85,66.01,29381629.75,59.23,36.08,100.0,36.55,82864627.25,4.457
"Congo, Rep.",2229.74,67.96,2067659.75,63.66,72.49,100.0,15.38,5251153.0,20.592
Costa Rica,11982.76,60.67,2349575.75,79.35,99.54,99.8,97.31,4968755.75,8.313
Cote d'Ivoire,2087.41,64.74,9025201.5,58.29,72.33,100.0,77.16,24538091.75,2.676
Croatia,13296.77,51.71,1837726.5,77.8,,99.85,74.11,4147581.75,12.23
Cuba,8278.73,56.12,5319785.5,77.61,93.86,100.0,109.07,11336638.75,1.95
Cyprus,26079.81,61.89,624934.75,81.18,99.78,100.0,130.21,1203128.75,11.82
Czechia,20116.4,60.03,5368773.75,78.9,99.88,99.73,137.08,10584189.25,3.533
Denmark,56780.22,61.63,2947931.0,80.9,100.0,63.06,143.56,5742527.25,5.808
Djibouti,2591.66,32.31,223197.0,62.5,75.86,100.0,44.51,1031737.75,26.186
Dominican Republic,7372.67,62.65,4737243.0,73.06,95.67,99.94,219.14,10586549.75,6.645
Ecuador,6194.36,67.04,7979641.75,76.9,93.95,98.79,66.79,16587025.75,3.898
Egypt,2918.29,45.47,30449215.5,71.0,98.73,100.0,101.22,100759495.0,11.781
El Salvador,3940.93,58.86,2668196.25,72.18,96.41,100.0,301.94,6256143.0,4.205
Equatorial Guinea,8738.47,55.78,486254.5,60.65,64.42,100.0,50.79,1424671.25,8.224
Eritrea,,78.38,1540208.75,66.49,51.66,100.0,27.97,3386900.0,5.777
Estonia,19825.25,62.8,693400.25,77.89,99.93,0.0,30.57,1317639.5,6.128
Eswatini,3692.2,51.11,369898.5,57.25,67.93,100.0,66.69,1147069.5,22.881
Ethiopia,712.5,80.83,50250937.25,64.57,43.68,100.0,94.61,106773127.8,2.816
Fiji,5593.05,57.68,370882.5,67.42,95.3,92.16,50.27,918396.5,4.296
Finland,45753.92,58.93,2715181.0,81.57,100.0,0.0,18.1,5499643.25,8.55
France,38513.59,55.77,30560402.5,82.54,100.0,82.3,122.06,66837186.0,9.708
French Polynesia,19334.5,56.34,127043.0,82.56,100.0,,84.87,294596.0,12.057
Gabon,7120.81,48.48,648767.25,65.94,85.1,100.0,8.2,2111737.5,20.687
Gambia,641.92,60.42,780499.5,62.89,82.42,100.0,232.13,2349109.25,5.485
Georgia,4288.8,66.84,1994652.25,73.44,93.84,100.0,65.2,3726833.5,14.93
Germany,43957.81,60.92,43495480.0,80.88,100.0,91.43,235.94,82399516.0,3.968
Ghana,1947.61,69.18,12706782.25,63.8,82.56,100.0,131.32,29879536.25,4.679
Greece,18586.73,51.67,4761165.75,81.38,100.0,100.0,83.56,10771103.75,22.305
